<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.11.27	00:03:31.337	0.93239	0.93293			6
2025.11.27	00:05:00.438	0.93179	0.93301			6
2025.11.27	00:06:00.317	0.93179				2
2025.11.27	00:06:09.576		0.93301			4
2025.11.27	00:07:00.316	0.93179				2
2025.11.27	00:07:09.339	0.93182	0.93298			6
2025.11.27	00:08:00.313	0.93182				2
2025.11.27	00:08:09.775		0.93298			4
2025.11.27	00:08:35.519	0.93186				2
2025.11.27	00:08:43.012		0.93294			4
2025.11.27	00:09:00.588	0.93186				2
2025.11.27	00:09:43.016	0.93182	0.93296			6
2025.11.27	00:09:51.303	0.93185	0.93295			6
2025.11.27	00:09:51.640	0.93183	0.93296			6
2025.11.27	00:10:00.323	0.93183				2
2025.11.27	00:10:06.458	0.93181	0.93297			6
2025.11.27	00:10:12.459	0.93189	0.93349			6
2025.11.27	00:10:22.437		0.93353			4
2025.11.27	00:10:29.061	0.93190				2
2025.11.27	00:10:44.206		0.93352			4
2025.11.27	00:10:56.697	0.93177	0.93303			6
2025.11.27	00:10:57.247	0.93190	0.93352			6
2025.11.27	00:11:00.151	0.93177	0.93303			6
2025.11.27	00:11:01.059	0.93190	0.93352			6
2025.11.27	00:11:01.359	0.93177	0.93303			6
2025.11.27	00:11:01.759	0.93190	0.93352			6
2025.11.27	00:11:04.017	0.93177	0.93303			6
2025.11.27	00:11:04.418	0.93190	0.93352			6
2025.11.27	00:11:05.073	0.93177	0.93303			6
2025.11.27	00:11:05.623	0.93179	0.93301			6
2025.11.27	00:11:06.111	0.93190	0.93352			6
2025.11.27	00:11:07.077	0.93179	0.93301			6
2025.11.27	00:11:12.351	0.93188	0.93354			6
2025.11.27	00:11:13.039	0.93179	0.93301			6
2025.11.27	00:11:18.643	0.93188	0.93354			6
2025.11.27	00:11:19.617	0.93179	0.93301			6
2025.11.27	00:11:22.306	0.93186				2
2025.11.27	00:11:22.810	0.93179				2
2025.11.27	00:11:23.306	0.93187				2
2025.11.27	00:11:24.670	0.93194	0.93355			6
2025.11.27	00:11:25.609	0.93187	0.93301			6
2025.11.27	00:11:27.322	0.93183				2
2025.11.27	00:11:27.822	0.93179				2
2025.11.27	00:11:28.709	0.93185				2
2025.11.27	00:11:29.909	0.93179				2
2025.11.27	00:11:30.322	0.93183				2
2025.11.27	00:11:31.159	0.93177	0.93303			6
2025.11.27	00:11:31.762	0.93195	0.93352			6
2025.11.27	00:11:32.067	0.93179	0.93301			6
2025.11.27	00:11:32.908	0.93184				2
2025.11.27	00:11:33.349	0.93179				2
2025.11.27	00:11:33.809	0.93183				2
2025.11.27	00:11:36.508	0.93179				2
2025.11.27	00:11:37.108	0.93184				2
2025.11.27	00:11:39.725	0.93179				2
2025.11.27	00:11:40.108	0.93183				2
2025.11.27	00:11:45.725	0.93179				2
2025.11.27	00:11:46.109	0.93183				2
2025.11.27	00:11:48.508	0.93179				2
2025.11.27	00:11:49.108	0.93183				2
2025.11.27	00:11:52.107	0.93184				2
2025.11.27	00:11:54.508	0.93179				2
2025.11.27	00:11:55.108	0.93184				2
2025.11.27	00:11:57.725	0.93179				2
2025.11.27	00:11:58.401	0.93184				2
2025.11.27	00:12:00.725	0.93179				2
2025.11.27	00:12:01.108	0.93184				2
2025.11.27	00:12:03.507	0.93179				2
2025.11.27	00:12:03.808	0.93184				2
2025.11.27	00:12:08.007	0.93179				2
2025.11.27	00:12:08.609	0.93184				2
2025.11.27	00:12:12.507	0.93179				2
2025.11.27	00:12:13.107	0.93184				2
2025.11.27	00:12:18.207	0.93185				2
2025.11.27	00:12:30.724	0.93179				2
2025.11.27	00:12:31.108	0.93185				2
2025.11.27	00:12:32.607		0.93301			4
2025.11.27	00:12:36.157	0.93183				2
2025.11.27	00:12:42.507	0.93179				2
2025.11.27	00:12:43.109	0.93183				2
2025.11.27	00:12:49.924	0.93179				2
2025.11.27	00:12:50.308	0.93183				2
2025.11.27	00:12:50.622	0.93179				2
2025.11.27	00:12:51.208	0.93183				2
2025.11.27	00:12:51.725	0.93179				2
2025.11.27	00:12:52.107	0.93183				2
2025.11.27	00:12:53.226	0.93179				2
2025.11.27	00:12:53.607	0.93183				2
2025.11.27	00:12:54.725	0.93179				2
2025.11.27	00:12:55.407	0.93183				2
2025.11.27	00:12:55.924	0.93179				2
2025.11.27	00:12:56.608	0.93183				2
2025.11.27	00:12:57.125	0.93179				2
2025.11.27	00:12:57.508	0.93183				2
2025.11.27	00:12:58.027	0.93179				2
2025.11.27	00:12:58.408	0.93183				2
2025.11.27	00:12:59.525	0.93179				2
2025.11.27	00:13:00.208	0.93183				2
2025.11.27	00:13:00.725	0.93179				2
2025.11.27	00:13:01.107	0.93183				2
2025.11.27	00:13:02.226	0.93179				2
2025.11.27	00:13:02.607	0.93183				2
2025.11.27	00:13:04.028	0.93179				2
2025.11.27	00:13:05.308	0.93183				2
2025.11.27	00:13:06.126	0.93179				2
2025.11.27	00:13:08.008	0.93183				2
2025.11.27	00:13:08.526	0.93179				2
2025.11.27	00:13:09.507	0.93183				2
2025.11.27	00:13:09.825	0.93179				2
2025.11.27	00:13:11.907	0.93183				2
2025.11.27	00:13:13.325	0.93179				2
2025.11.27	00:13:14.007	0.93183				2
2025.11.27	00:13:14.827	0.93179				2
2025.11.27	00:13:17.308	0.93183				2
2025.11.27	00:13:18.424	0.93179				2
2025.11.27	00:13:20.008	0.93183				2
2025.11.27	00:13:21.424	0.93179				2
2025.11.27	00:13:21.808	0.93183				2
2025.11.27	00:13:22.327	0.93179				2
2025.11.27	00:13:22.708	0.93183				2
2025.11.27	00:13:23.224	0.93179				2
2025.11.27	00:13:23.609	0.93183				2
2025.11.27	00:13:24.124	0.93179				2
2025.11.27	00:13:24.507	0.93183				2
2025.11.27	00:13:25.027	0.93179				2
2025.11.27	00:13:25.707	0.93183				2
2025.11.27	00:13:26.525	0.93179				2
2025.11.27	00:13:27.207	0.93183				2
2025.11.27	00:13:27.724	0.93179				2
2025.11.27	00:13:28.107	0.93183				2
2025.11.27	00:13:28.624	0.93179				2
2025.11.27	00:13:29.008	0.93183				2
2025.11.27	00:13:29.524	0.93179				2
2025.11.27	00:13:29.907	0.93183				2
2025.11.27	00:13:31.025	0.93179				2
2025.11.27	00:13:31.408	0.93183				2
2025.11.27	00:13:32.526	0.93179				2
2025.11.27	00:13:32.908		0.93301			4
2025.11.27	00:13:33.507	0.93183				2
2025.11.27	00:13:35.226	0.93179				2
2025.11.27	00:13:35.607	0.93183				2
2025.11.27	00:13:36.424	0.93179				2
2025.11.27	00:13:37.707	0.93183				2
2025.11.27	00:13:39.127	0.93179				2
2025.11.27	00:13:39.508	0.93183				2
